artifact,dataset,model,operator,fold,branches,residual_mode,timestamp,mean_pairwise_distance,max_pairwise_distance,pair_count
branch_diversity,DD,HorizontalRes,GCNConv,0,B1,identity,20260507_080131,0.0,0.0,0
branch_diversity,DD,HorizontalRes,GCNConv,0,B2,identity,20260507_080428,0.1278786063194275,0.1278786063194275,1
branch_diversity,DD,HorizontalRes,GCNConv,0,B3,identity,20260506_220125,0.556830108165741,0.5594345927238464,3
branch_diversity,DD,HorizontalRes,GCNConv,0,B3,identity,20260506_222850,0.7024520834287008,0.7089879512786865,3
branch_diversity,DD,HorizontalRes,GCNConv,0,B3,identity,20260507_080744,0.7344671289126078,0.7452146410942078,3
branch_diversity,DD,HorizontalRes,GCNConv,0,B4,identity,20260507_081259,1.011413296063741,1.3236888647079468,6
branch_diversity,DD,HorizontalRes,GCNConv,0,B5,identity,20260507_081815,1.3345814645290375,1.7772138118743896,10
branch_diversity,DD,HorizontalRes,GCNConv,0,B6,identity,20260507_083144,1.355522664388021,2.0950632095336914,15
branch_diversity,DD,HorizontalRes,GCNConv,0,B7,identity,20260507_084435,1.2209314150469643,1.96980881690979,21
branch_diversity,DD,HorizontalRes,GCNConv,0,B8,identity,20260507_085842,1.551178174359458,2.515692949295044,28
branch_diversity,DD,HorizontalRes,GCNConv,1,B1,identity,20260507_080133,0.0,0.0,0
branch_diversity,DD,HorizontalRes,GCNConv,1,B2,identity,20260507_080434,0.17798322439193726,0.17798322439193726,1
branch_diversity,DD,HorizontalRes,GCNConv,1,B3,identity,20260506_222945,1.0453624924023945,1.1720165014266968,3
branch_diversity,DD,HorizontalRes,GCNConv,1,B3,identity,20260507_080912,0.9874769051869711,1.0753741264343262,3
branch_diversity,DD,HorizontalRes,GCNConv,1,B4,identity,20260507_081317,1.2830702463785808,1.6037923097610474,6
branch_diversity,DD,HorizontalRes,GCNConv,1,B5,identity,20260507_082034,1.4321879208087922,2.150608539581299,10
branch_diversity,DD,HorizontalRes,GCNConv,1,B6,identity,20260507_083052,1.514547061920166,2.3290927410125732,15
branch_diversity,DD,HorizontalRes,GCNConv,1,B7,identity,20260507_084403,1.8397248756317865,2.9437694549560547,21
branch_diversity,DD,HorizontalRes,GCNConv,1,B8,identity,20260507_090250,1.6317591496876307,2.702326536178589,28
branch_diversity,DD,HorizontalRes,GCNConv,2,B1,identity,20260507_075921,0.0,0.0,0
branch_diversity,DD,HorizontalRes,GCNConv,2,B2,identity,20260507_080344,0.170950785279274,0.170950785279274,1
branch_diversity,DD,HorizontalRes,GCNConv,2,B3,identity,20260506_222853,0.4693687856197357,0.491028755903244,3
branch_diversity,DD,HorizontalRes,GCNConv,2,B3,identity,20260507_080729,0.46610670288403827,0.487408846616745,3
