artifact,dataset,model,operator,fold,branches,residual_mode,timestamp,matrix_name,mean_cka_branch,max_cka_branch,min_cka_branch
cka_branch,DD,HorizontalRes,GCNConv,0,B1,identity,20260507_080131,cka_branch,1.0,1.0,1.0
cka_branch,DD,HorizontalRes,GCNConv,0,B2,identity,20260507_080428,cka_branch,0.9999650716781616,1.0,0.9999301433563232
cka_branch,DD,HorizontalRes,GCNConv,0,B3,identity,20260506_220125,cka_branch,0.9545745849609375,1.0,0.8704105019569397
cka_branch,DD,HorizontalRes,GCNConv,0,B3,identity,20260506_222850,cka_branch,0.9984169668621488,1.0,0.9954238533973694
cka_branch,DD,HorizontalRes,GCNConv,0,B3,identity,20260507_080744,cka_branch,0.9990201857354906,1.0,0.9971162676811218
cka_branch,DD,HorizontalRes,GCNConv,0,B4,identity,20260507_081259,cka_branch,0.988157831132412,1.0,0.9578065276145935
cka_branch,DD,HorizontalRes,GCNConv,0,B5,identity,20260507_081815,cka_branch,0.939353461265564,1.000000238418579,0.769090473651886
cka_branch,DD,HorizontalRes,GCNConv,0,B6,identity,20260507_083144,cka_branch,0.7478152811527252,1.0,0.24356332421302795
cka_branch,DD,HorizontalRes,GCNConv,0,B7,identity,20260507_084435,cka_branch,0.6677350452055737,1.000000238418579,0.09368928521871567
cka_branch,DD,HorizontalRes,GCNConv,0,B8,identity,20260507_085842,cka_branch,0.6990325707010925,1.0,0.31376731395721436
cka_branch,DD,HorizontalRes,GCNConv,1,B1,identity,20260507_080133,cka_branch,1.0,1.0,1.0
cka_branch,DD,HorizontalRes,GCNConv,1,B2,identity,20260507_080434,cka_branch,0.999998152256012,1.0,0.9999963045120239
cka_branch,DD,HorizontalRes,GCNConv,1,B3,identity,20260506_222945,cka_branch,0.9988257355160184,1.0,0.9965071678161621
cka_branch,DD,HorizontalRes,GCNConv,1,B3,identity,20260507_080912,cka_branch,0.9988652931319343,1.0,0.9966207146644592
cka_branch,DD,HorizontalRes,GCNConv,1,B4,identity,20260507_081317,cka_branch,0.9969623647630215,1.0,0.9900399446487427
cka_branch,DD,HorizontalRes,GCNConv,1,B5,identity,20260507_082034,cka_branch,0.9261001491546631,1.000000238418579,0.7347446084022522
cka_branch,DD,HorizontalRes,GCNConv,1,B6,identity,20260507_083052,cka_branch,0.9769506785604689,1.000000238418579,0.9095638394355774
