artifact,dataset,model,operator,fold,branches,residual_mode,timestamp,grad_rows,mean_grad_norm,grad_max,grad_min
gradient_by_layer,DD,HorizontalRes,GCNConv,0,B1,identity,20260507_080131,8,0.1271592197008431,0.4895128905773163,0.02895803563296795
gradient_by_layer,DD,HorizontalRes,GCNConv,0,B2,identity,20260507_080428,15,0.09278370291770746,0.342634916305542,0.0007564389379695058
gradient_by_layer,DD,HorizontalRes,GCNConv,0,B3,identity,20260506_220125,21,0.019577420405333952,0.07350756227970123,0.00699433870613575
gradient_by_layer,DD,HorizontalRes,GCNConv,0,B3,identity,20260506_222850,21,0.09677237507310651,0.41197171807289124,0.012746443971991539
gradient_by_layer,DD,HorizontalRes,GCNConv,0,B3,identity,20260507_080744,21,0.09708837087133101,0.42867031693458557,0.012593499384820461
gradient_by_layer,DD,HorizontalRes,GCNConv,0,B4,identity,20260507_081259,27,0.04002865251257188,0.1792392134666443,0.00374055583961308
gradient_by_layer,DD,HorizontalRes,GCNConv,0,B5,identity,20260507_081815,33,0.04920486121607775,0.24470186233520508,0.003364164149388671
gradient_by_layer,DD,HorizontalRes,GCNConv,0,B6,identity,20260507_083144,39,0.09445796955902225,0.46991604566574097,0.003804038744419813
gradient_by_layer,DD,HorizontalRes,GCNConv,0,B7,identity,20260507_084435,45,0.036584437566084996,0.20674625039100647,0.0010366274509578943
gradient_by_layer,DD,HorizontalRes,GCNConv,0,B8,identity,20260507_085842,51,0.0626303593025488,0.29574668407440186,0.002271548844873905
gradient_by_layer,DD,HorizontalRes,GCNConv,1,B1,identity,20260507_080133,8,0.03013885553809814,0.11713077872991562,0.0013008450623601675
gradient_by_layer,DD,HorizontalRes,GCNConv,1,B2,identity,20260507_080434,15,0.15967383480941255,0.6274960041046143,0.002701211255043745
gradient_by_layer,DD,HorizontalRes,GCNConv,1,B3,identity,20260506_222945,21,0.03615916407267962,0.15600712597370148,0.0044237240217626095
gradient_by_layer,DD,HorizontalRes,GCNConv,1,B3,identity,20260507_080912,21,0.0253090261526051,0.11055814474821091,0.002015456324443221
gradient_by_layer,DD,HorizontalRes,GCNConv,1,B4,identity,20260507_081317,27,0.014761137717869133,0.0807492807507515,0.0008641258464194834
gradient_by_layer,DD,HorizontalRes,GCNConv,1,B5,identity,20260507_082034,33,0.013450965145955595,0.06301140040159225,0.00045661930926144123
gradient_by_layer,DD,HorizontalRes,GCNConv,1,B6,identity,20260507_083052,39,0.060182735873147465,0.34075701236724854,0.002687032800167799
gradient_by_layer,DD,HorizontalRes,GCNConv,1,B7,identity,20260507_084403,45,0.041868099941509876,0.24593324959278107,0.000832647958304733
gradient_by_layer,DD,HorizontalRes,GCNConv,1,B8,identity,20260507_090250,51,0.025789029540165383,0.14220082759857178,0.0011477574007585645
gradient_by_layer,DD,HorizontalRes,GCNConv,2,B1,identity,20260507_075921,8,0.12961257109418511,0.48424941301345825,0.03967348113656044
gradient_by_layer,DD,HorizontalRes,GCNConv,2,B2,identity,20260507_080344,15,0.01713749747723341,0.043687719851732254,0.0073674581944942474
gradient_by_layer,DD,HorizontalRes,GCNConv,2,B3,identity,20260506_222853,21,0.010533832213176149,0.03553074225783348,0.003007414983585477
gradient_by_layer,DD,HorizontalRes,GCNConv,2,B3,identity,20260507_080729,21,0.010625015367709455,0.035378288477659225,0.0030228933319449425
gradient_by_layer,DD,HorizontalRes,GCNConv,2,B4,identity,20260507_081217,27,0.030173065951438965,0.11268709599971771,0.0057076564989984035
gradient_by_layer,DD,HorizontalRes,GCNConv,2,B5,identity,20260507_081758,33,0.05098150111734867,0.19112782180309296,0.0023097717203199863
gradient_by_layer,DD,HorizontalRes,GCNConv,2,B6,identity,20260507_082721,39,0.03834971810619418,0.18339741230010986,0.00445142388343811
gradient_by_layer,DD,HorizontalRes,GCNConv,2,B7,identity,20260507_084116,45,0.0076717384263045255,0.04159806668758392,0.0023318121675401926
gradient_by_layer,DD,HorizontalRes,GCNConv,2,B8,identity,20260507_085447,51,0.03006422936952874,0.1131567507982254,0.0038726795464754105
gradient_by_layer,DD,HorizontalRes,GCNConv,3,B1,identity,20260507_080159,8,0.05979069811291993,0.24728547036647797,0.006701693870127201
gradient_by_layer,DD,HorizontalRes,GCNConv,3,B2,identity,20260507_080600,15,0.0719245241334041,0.268044650554657,0.00942746177315712
gradient_by_layer,DD,HorizontalRes,GCNConv,3,B3,identity,20260506_223023,21,0.047152585726940914,0.21835501492023468,0.004657539073377848
gradient_by_layer,DD,HorizontalRes,GCNConv,3,B3,identity,20260507_081025,21,0.03866532846309599,0.17702187597751617,0.0047492459416389465
gradient_by_layer,DD,HorizontalRes,GCNConv,3,B4,identity,20260507_081539,27,0.08170534791079936,0.37680602073669434,0.008731919340789318
gradient_by_layer,DD,HorizontalRes,GCNConv,3,B5,identity,20260507_082259,33,0.02761545655966708,0.11598623543977737,0.0022544667590409517
gradient_by_layer,DD,HorizontalRes,GCNConv,3,B6,identity,20260507_083353,39,0.04921019302967649,0.2519071400165558,0.0028747119940817356
gradient_by_layer,DD,HorizontalRes,GCNConv,3,B7,identity,20260507_084923,45,0.02144904633363088,0.08127497881650925,0.002133285626769066
gradient_by_layer,DD,HorizontalRes,GCNConv,3,B8,identity,20260507_090604,51,0.04094809391444512,0.20312245190143585,0.002684465842321515
gradient_by_layer,DD,HorizontalRes,GCNConv,4,B1,identity,20260507_080232,8,0.14483457850292325,0.4866761863231659,0.0454799123108387
gradient_by_layer,DD,HorizontalRes,GCNConv,4,B2,identity,20260507_080544,15,0.024369548757870993,0.08294360339641571,0.005967282690107822
gradient_by_layer,DD,HorizontalRes,GCNConv,4,B3,identity,20260506_222946,21,0.027136207624737705,0.09452690929174423,0.003943629562854767
