artifact,dataset,model,operator,fold,branches,residual_mode,timestamp,residual_sites,residual_count_total,residual_norm_pre_total,residual_norm_post_total,active_ratio_mean,gate_mean
residual_stats,DD,HorizontalRes,GCNConv,0,B1,identity,20260507_080131,3,0.0,0.0,0.0,0.0,0.800000011920929
residual_stats,DD,HorizontalRes,GCNConv,0,B2,identity,20260507_080428,6,6.0,1190.2608261108398,1190.2608261108398,0.33523691197236377,0.8767480850219727
residual_stats,DD,HorizontalRes,GCNConv,0,B3,identity,20260506_220125,9,12.0,1560.7911224365234,1560.7911224365234,0.4620918366644118,0.7990365028381348
residual_stats,DD,HorizontalRes,GCNConv,0,B3,identity,20260506_222850,9,12.0,2173.178352355957,2173.178352355957,0.2598445754912164,0.8511824607849121
residual_stats,DD,HorizontalRes,GCNConv,0,B3,identity,20260507_080744,9,12.0,2258.759033203125,2258.759033203125,0.27534854826,0.8409523963928223
residual_stats,DD,HorizontalRes,GCNConv,0,B4,identity,20260507_081259,12,18.0,3222.3023681640625,3222.3023681640625,0.29233079093197983,0.8498640656471252
residual_stats,DD,HorizontalRes,GCNConv,0,B5,identity,20260507_081815,15,24.0,4580.298866271973,4580.298866271973,0.29217050820589063,0.8530261516571045
residual_stats,DD,HorizontalRes,GCNConv,0,B6,identity,20260507_083144,18,30.0,4967.608818054199,4967.608818054199,0.23038767319586542,0.8672782182693481
residual_stats,DD,HorizontalRes,GCNConv,0,B7,identity,20260507_084435,21,36.0,5068.510936737061,5068.510936737061,0.2127819565080461,0.8734827637672424
residual_stats,DD,HorizontalRes,GCNConv,0,B8,identity,20260507_085842,24,42.0,6891.649953842163,6891.649953842163,0.25588357045004767,0.8782073855400085
residual_stats,DD,HorizontalRes,GCNConv,1,B1,identity,20260507_080133,3,0.0,0.0,0.0,0.0,0.800000011920929
residual_stats,DD,HorizontalRes,GCNConv,1,B2,identity,20260507_080434,6,6.0,1209.1521911621094,1209.1521911621094,0.33339659372965497,0.8488146662712097
residual_stats,DD,HorizontalRes,GCNConv,1,B3,identity,20260506_222945,9,12.0,2678.1684226989746,2678.1684226989746,0.31895285182529026,0.8545651435852051
residual_stats,DD,HorizontalRes,GCNConv,1,B3,identity,20260507_080912,9,12.0,2596.9625968933105,2596.9625968933105,0.3272669878270891,0.8430898189544678
residual_stats,DD,HorizontalRes,GCNConv,1,B4,identity,20260507_081317,12,18.0,4013.7361907958984,4013.7361907958984,0.3014315702021122,0.8325072526931763
residual_stats,DD,HorizontalRes,GCNConv,1,B5,identity,20260507_082034,15,24.0,4699.893016815186,4699.893016815186,0.2911533201734225,0.8388200998306274
residual_stats,DD,HorizontalRes,GCNConv,1,B6,identity,20260507_083052,18,30.0,5263.437961578369,5263.437961578369,0.2707788836624887,0.8552309274673462
residual_stats,DD,HorizontalRes,GCNConv,1,B7,identity,20260507_084403,21,36.0,6984.83797454834,6984.83797454834,0.29708692254055113,0.8443468809127808
residual_stats,DD,HorizontalRes,GCNConv,1,B8,identity,20260507_090250,24,42.0,7330.220390319824,7330.220390319824,0.26633533649146557,0.846545398235321
