dataset,model,operator,fold,num_branches,residual_mode,best_epoch,best_test_acc,test_loss,runtime_seconds,total_params
DD,HorizontalRes,GCNConv,0,1,identity,176,0.7046413502109705,0.5796878933906555,207.58611178398132,14211
DD,HorizontalRes,GCNConv,0,2,identity,120,0.729957805907173,0.6034409403800964,165.81969141960144,28291
DD,HorizontalRes,GCNConv,0,3,identity,99,0.7341772151898734,0.5824108123779297,181.86213445663452,42371
DD,HorizontalRes,GCNConv,0,4,identity,88,0.7215189873417721,0.5706145763397217,220.66818356513977,56451
DD,HorizontalRes,GCNConv,0,5,identity,96,0.7215189873417721,0.5683584809303284,292.7558608055115,70531
DD,HorizontalRes,GCNConv,0,6,identity,119,0.7257383966244726,0.5802668929100037,664.5888974666595,84611
DD,HorizontalRes,GCNConv,0,7,identity,142,0.7426160337552743,0.5850947499275208,757.1369848251343,98691
DD,HorizontalRes,GCNConv,0,8,identity,143,0.7130801687763713,0.6067241430282593,837.850106716156,112771
DD,HorizontalRes,GCNConv,1,1,identity,166,0.7669491525423728,0.5116457343101501,209.58610773086548,14211
DD,HorizontalRes,GCNConv,1,2,identity,98,0.7796610169491526,0.5165222883224487,147.80985736846924,28291
DD,HorizontalRes,GCNConv,1,3,identity,109,0.7796610169491526,0.5152999758720398,201.92427968978882,42371
DD,HorizontalRes,GCNConv,1,4,identity,92,0.7584745762711864,0.5243557691574097,232.70475435256958,56451
DD,HorizontalRes,GCNConv,1,5,identity,110,0.7627118644067796,0.5199398994445801,332.0408046245575,70531
DD,HorizontalRes,GCNConv,1,6,identity,111,0.7584745762711864,0.5203943252563477,590.7283637523651,84611
DD,HorizontalRes,GCNConv,1,7,identity,100,0.7627118644067796,0.5180442929267883,594.5356945991516,98691
DD,HorizontalRes,GCNConv,1,8,identity,134,0.7669491525423728,0.5139657855033875,824.4013040065765,112771
DD,HorizontalRes,GCNConv,2,1,identity,16,0.7148936170212766,0.6205781102180481,78.20646405220032,14211
DD,HorizontalRes,GCNConv,2,2,identity,13,0.6851063829787234,0.6167207360267639,65.23185515403748,28291
DD,HorizontalRes,GCNConv,2,3,identity,10,0.6595744680851063,0.63461834192276,82.9552743434906,42371
DD,HorizontalRes,GCNConv,2,4,identity,11,0.676595744680851,0.6152438521385193,106.86898922920227,56451
DD,HorizontalRes,GCNConv,2,5,identity,14,0.6851063829787234,0.609771192073822,134.16474294662476,70531
DD,HorizontalRes,GCNConv,2,6,identity,14,0.6936170212765957,0.5976227521896362,253.37570452690125,84611
DD,HorizontalRes,GCNConv,2,7,identity,14,0.6851063829787234,0.6055406332015991,289.4251546859741,98691
DD,HorizontalRes,GCNConv,2,8,identity,16,0.7191489361702128,0.6209525465965271,313.285094499588,112771
DD,HorizontalRes,GCNConv,3,1,identity,96,0.6978723404255319,0.5804175734519958,148.41973876953125,14211
DD,HorizontalRes,GCNConv,3,2,identity,80,0.7191489361702128,0.5786186456680298,129.7593719959259,28291
DD,HorizontalRes,GCNConv,3,3,identity,82,0.7106382978723405,0.5833306908607483,170.47558999061584,42371
DD,HorizontalRes,GCNConv,3,4,identity,70,0.6808510638297872,0.5860335826873779,196.17918276786804,56451
DD,HorizontalRes,GCNConv,3,5,identity,74,0.6851063829787234,0.5839722752571106,296.4513292312622,70531
DD,HorizontalRes,GCNConv,3,6,identity,46,0.7191489361702128,0.5892881155014038,379.4864683151245,84611
DD,HorizontalRes,GCNConv,3,7,identity,71,0.7021276595744681,0.5850384831428528,477.2238907814026,98691
DD,HorizontalRes,GCNConv,3,8,identity,107,0.7063829787234043,0.6077573895454407,666.6532649993896,112771
DD,HorizontalRes,GCNConv,4,1,identity,21,0.7148936170212766,0.6063908934593201,55.35662078857422,14211
