candidate,dataset,model,operator,fold,best_epoch,best_test_acc,test_loss,runtime_seconds,total_params
DD_lr_0.001,DD,MatrixResGated,GCNConv,0,144,0.7257383966244726,0.5712564587593079,205.2017776966095,42371
DD_dim_32,DD,MatrixResGated,GCNConv,0,88,0.7552742616033755,0.571209728717804,126.75580143928528,15043
DD_gate_init_0.2,DD,MatrixResGated,GCNConv,0,174,0.7046413502109705,0.5819765329360962,220.55392622947693,42371
DD_lr_0.001,DD,MatrixResGated,GCNConv,1,175,0.7754237288135594,0.517166256904602,232.7478187084198,42371
DD_dim_32,DD,MatrixResGated,GCNConv,1,147,0.7627118644067796,0.5140513181686401,167.32668805122375,15043
DD_gate_init_0.2,DD,MatrixResGated,GCNConv,1,183,0.7542372881355932,0.5178630352020264,210.43991923332214,42371
DD_lr_0.001,DD,MatrixResGated,GCNConv,2,26,0.6723404255319149,0.6054192781448364,111.25319910049438,42371
DD_dim_32,DD,MatrixResGated,GCNConv,2,17,0.676595744680851,0.6014927625656128,71.94837689399719,15043
DD_gate_init_0.2,DD,MatrixResGated,GCNConv,2,25,0.6936170212765957,0.6279631853103638,112.33557176589966,42371
DD_lr_0.001,DD,MatrixResGated,GCNConv,3,154,0.7063829787234043,0.5795953273773193,236.7249732017517,42371
DD_dim_32,DD,MatrixResGated,GCNConv,3,113,0.6978723404255319,0.5684834718704224,139.93055772781372,15043
DD_gate_init_0.2,DD,MatrixResGated,GCNConv,3,154,0.7106382978723405,0.5902679562568665,204.508718252182,42371
DD_lr_0.001,DD,MatrixResGated,GCNConv,4,30,0.7106382978723405,0.5952306985855103,115.9899799823761,42371
DD_dim_32,DD,MatrixResGated,GCNConv,4,16,0.7148936170212766,0.6034337878227234,77.61612606048584,15043
DD_gate_init_0.2,DD,MatrixResGated,GCNConv,4,30,0.7021276595744681,0.5917935371398926,97.23267936706543,42371
PROTEINS_sparse_lambda_0.02,PROTEINS,MatrixResGated,GCNConv,0,128,0.695067264573991,0.6264198422431946,98.44335508346558,38339
PROTEINS_sparse_lambda_0.02,PROTEINS,MatrixResGated,GCNConv,1,166,0.7219730941704036,0.5879597067832947,110.99674344062805,38339
PROTEINS_sparse_lambda_0.02,PROTEINS,MatrixResGated,GCNConv,2,90,0.7219730941704036,0.5966343879699707,78.31329774856567,38339
PROTEINS_sparse_lambda_0.02,PROTEINS,MatrixResGated,GCNConv,3,39,0.7117117117117117,0.5902433395385742,55.35857081413269,38339
PROTEINS_sparse_lambda_0.02,PROTEINS,MatrixResGated,GCNConv,4,6,0.6036036036036037,0.6507149338722229,42.053626537323,38339
